Model name,CNC-H,CNC-G,CNC-diff,Avg-H,Avg-G,Avg-diff,Heter-H,Heter-G,Heter-diff
Model 1,1.111,1.045,0.066,3.000,3.000,0.000,2,2,0
Model 2,1.083,1.059,0.025,3.000,3.000,0.000,3,1,2
Model 3,1.208,1.000,0.208,3.333,3.000,0.333,3,1,2
Model 4,0.920,1.000,-0.080,3.200,3.000,0.200,2,1,1
Model 5,1.167,1.025,0.141,3.100,3.000,0.100,3,2,1
Model 6,1.231,1.000,0.231,3.100,3.000,0.100,3,1,2
Model 7,1.000,0.909,0.091,0.000,0.000,0.000,0,0,0
Model 8,1.083,1.000,0.083,3.000,3.000,0.000,2,1,1
Model 9,1.000,1.083,-0.083,3.000,3.000,0.000,1,1,0
Model 10,1.000,1.000,0.000,3.000,3.000,0.000,2,1,1
Model 11,0.938,1.000,-0.062,3.000,3.000,0.000,1,1,0
Model 12,1.000,1.062,-0.062,3.000,3.000,0.000,1,1,0
Model 13,0.875,0.889,-0.014,0.000,0.000,0.000,0,0,0
Model 14,1.097,1.000,0.097,3.000,3.000,0.000,2,1,1
Model 15,0.857,1.091,-0.234,4.000,4.000,0.000,1,1,0
Model 16,1.000,1.071,-0.071,3.000,3.000,0.000,1,1,0
Model 17,0.933,1.069,-0.136,4.000,3.000,1.000,1,2,-1
Model 18,1.222,1.133,0.089,0.000,4.000,-4.000,0,2,-2
Model 19,1.037,1.056,-0.019,3.000,3.000,0.000,1,1,0
Model 20,1.000,0.875,0.125,0.000,0.000,0.000,0,0,0
Model 21,1.000,1.000,0.000,3.000,3.000,0.000,1,1,0
Model 22,1.067,1.111,-0.044,3.333,3.667,-0.333,2,2,0
Model 23,0.875,1.000,-0.125,3.000,3.000,0.000,1,1,0
Model 24,0.857,0.889,-0.032,0.000,0.000,0.000,0,0,0
Model 25,1.091,1.000,0.091,3.500,3.000,0.500,2,1,1
Model 26,1.500,0.909,0.591,3.000,0.000,3.000,2,0,2
Model 27,0.862,1.167,-0.305,3.000,3.000,0.000,1,1,0
Model 28,0.944,1.133,-0.189,4.000,3.000,1.000,2,2,0
Model 29,1.000,0.889,0.111,0.000,0.000,0.000,0,0,0
Model 30,0.944,0.909,0.035,0.000,0.000,0.000,0,0,0
Model 31,1.200,1.091,0.109,3.000,3.000,0.000,1,1,0
Model 32,1.045,1.043,0.002,3.000,3.000,0.000,3,1,2
