Order,Activity,Condition,Who,Subprocess,Terminated
0,start,,,,
1,Initiate Process ,,,,
2,Transmit His Data ,,Customer ,,
3,Receive Customer Data ,,Customer Data ,,
4,Enter Data Object ,,Data Object ,,
5,Enter Crm System ,,Customer Data ,,
6,Compare ,,,,
7,Check Completeness ,,,,
8,Correct These ,,,,
9,Prevent Comparison ,,,,
10,Store Comparison ,,,,
11,Create New Customer Object ,,New Customer Object ,,
12,Remain Data Object ,,,,
13,Consist Data Elements ,,Object ,,
14,Name Name ,,Customers ,,
15,Use Generated Customer Object ,,Generated Customer Object ,,
16,Request Date ,,Generated Customer Object ,,
17,Carry Automated Check ,,,,
18,Generate Contract Documents ,,,,
19,Generate Contract Documents ,,,,
20,Analyze Causing Issues ,,Causing Issues ,,
21,Resolve Causing Issues ,,Causing Issues ,,
22,Generate Contract Documents ,,,,
23,Send Confirmation Document ,,,,
24,Execute Switchover ,,,,
25,Send Request ,,,,
26,Put Question ,,,,
27a1,Check Switchover Request ,Customer may be supplied ,Customer ,,
27b1,goto 53,else,,,
28,Transmit Response Comment ,,Grid Operator ,,
29,Inform Involved Suppliers ,,Grid Operator ,,
30,Demand Resolution ,,Grid Operator ,,
31,Communicate Old Supplier ,,Grid Operator ,,
32,Carry Termination ,,Grid Operator ,,
33,Create Cis Contract ,,Customer Service ,,
34,Decide Chance ,,Customer ,,
35,Decide Customer ,,Customer ,,
36,End Process Flow ,,Process Flow ,,
37,Withdraw Additional Constraint ,,,,
38,Withdraw Offered Contract ,,Customer ,,
39,Regard Contract ,,,,
40,Continue Process ,,,,
41,Count Confirmation Message ,,,,
42,Count Switch Process ,,,,
43,Speed Switch Process ,,,,
44,Begin Power Supply ,,,,
45,Transmit Meter Data ,,Grid Operator ,,
46,Compute Final Billing ,,Grid Operator ,,
47,Send It ,,Grid Operator ,,
48,Create Final Billing ,,Old Supplier ,,
49,Send Final Billing ,,Old Supplier ,,
50,End Customer ,,,,
51,Require Information ,,,,
52,End Process ,,,,
53,,,,,yes
